"Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","days_since_update","Price_Installs","Log_Installs","Log_Reviews","Rating_Category","Scaled_Rating","Scaled_Reviews","Scaled_Size","Scaled_Installs","Scaled_Price"
"ART_AND_DESIGN",4.1,159,19456,10000,"Free",0,"Everyone","Other",2018-01-07,2510,0,9.21044036697652,5.07517381523383,"High",-0.178094064148072,-0.163449093802466,-0.114417170127443,-0.196052095714292,-0.0607544456014776
"ART_AND_DESIGN",3.9,967,14336,500000,"Free",0,"Everyone","Other",2018-01-15,2502,0,13.1223653774023,6.87523208727658,"Medium",-0.566278612626271,-0.163192099790503,-0.342593773121051,-0.190681539229454,-0.0607544456014776
"ART_AND_DESIGN",4.7,87510,8908.8,5000000,"Free",0,"Everyone","Other",2018-08-01,2304,0,15.4249486703984,11.37951977873,"High",0.98645958128653,-0.135666069125536,-0.584460972294275,-0.141360102123801,-0.0607544456014776
"ART_AND_DESIGN",4.5,215644,25600,50000000,"Free",0,"Teen","Other",2018-06-08,2358,0,17.7275335833924,12.2813888160896,"High",0.59827503280833,-0.0949115261443023,0.159394753464885,0.35185426893273,-0.0607544456014776
"ART_AND_DESIGN",4.3,967,2867.2,100000,"Free",0,"Everyone","Other",2018-06-20,2346,0,11.5129354649202,6.87523208727658,"High",0.210090484330129,-0.163192099790503,-0.853709363826731,-0.195065666972179,-0.0607544456014776
"ART_AND_DESIGN",4.4,167,5734.4,50000,"Free",0,"Everyone","Other",2017-03-26,2797,0,10.8197982842103,5.12396397940326,"High",0.40418275856923,-0.163446549307298,-0.725930466150311,-0.195613682940019,-0.0607544456014776
"ART_AND_DESIGN",3.8,178,19456,50000,"Free",0,"Everyone","Other",2018-04-26,2401,0,10.8197982842103,5.18738580584075,"Medium",-0.760370886865372,-0.163443050626442,-0.114417170127443,-0.195613682940019,-0.0607544456014776
"ART_AND_DESIGN",4.1,36815,29696,1000000,"Free",0,"Everyone","Other",2018-06-14,2352,0,13.8155115579638,10.5136878122751,"High",-0.178094064148072,-0.151790216942927,0.341936035859771,-0.185201379551048,-0.0607544456014776
"ART_AND_DESIGN",4.4,13791,33792,1000000,"Free",0,"Everyone","Other",2017-09-20,2619,0,13.8155115579638,9.53184399290347,"High",0.40418275856923,-0.159113274036282,0.524477318254657,-0.185201379551048,-0.0607544456014776
"ART_AND_DESIGN",4.7,121,3174.4,10000,"Free",0,"Everyone","Other",2018-07-03,2333,0,9.21044036697652,4.80402104473326,"High",0.98645958128653,-0.163461180154514,-0.840018767647115,-0.196052095714292,-0.0607544456014776
"ART_AND_DESIGN",4.4,13880,28672,1000000,"Free",0,"Everyone","Other",2017-10-27,2582,0,13.8155115579638,9.53827627757511,"High",0.40418275856923,-0.159084966527539,0.29630071526105,-0.185201379551048,-0.0607544456014776
"ART_AND_DESIGN",4.4,8788,12288,1000000,"Free",0,"Everyone","Other",2018-07-31,2305,0,13.8155115579638,9.08125621856465,"High",0.40418275856923,-0.160704537701938,-0.433864414318494,-0.185201379551048,-0.0607544456014776
"ART_AND_DESIGN",4.2,44829,20480,10000000,"Free",0,"Teen","Other",2018-04-02,2425,0,16.1180957509583,10.7106328371495,"High",0.0159982100910296,-0.149241268908435,-0.068781849528722,-0.086558505339742,-0.0607544456014776
"ART_AND_DESIGN",4.6,4326,21504,100000,"Free",0,"Everyone","Other",2018-06-26,2340,0,11.5129354649202,8.37262974022488,"High",0.792367307047429,-0.162123729881861,-0.0231465289300005,-0.195065666972179,-0.0607544456014776
